"name" "id"
"Boots of Speed" "1001"
"Faerie Charm" "1004"
"Rejuvenation Bead" "1006"
"Giant's Belt" "1011"
"Cloak of Agility" "1018"
"Blasting Wand" "1026"
"Sapphire Crystal" "1027"
"Ruby Crystal" "1028"
"Cloth Armor" "1029"
"Chain Vest" "1031"
"Null-Magic Mantle" "1033"
"Long Sword" "1036"
"Pickaxe" "1037"
"B. F. Sword" "1038"
"Hunter's Machete" "1039"
"Dagger" "1042"
"Recurve Bow" "1043"
"Brawler's Gloves" "1051"
"Amplifying Tome" "1052"
"Vampiric Scepter" "1053"
"Doran's Shield" "1054"
"Doran's Blade" "1055"
"Doran's Ring" "1056"
"Negatron Cloak" "1057"
"Needlessly Large Rod" "1058"
"Prospector's Blade" "1062"
"Prospector's Ring" "1063"
"Doran's Shield (Showdown)" "1074"
"Doran's Blade (Showdown)" "1075"
"Doran's Ring (Showdown)" "1076"
"Enchantment: Furor" "1300"
"Enchantment: Alacrity" "1301"
"Enchantment: Captain" "1302"
"Enchantment: Distortion" "1303"
"Enchantment: Homeguard" "1304"
"Enchantment: Furor" "1305"
"Enchantment: Alacrity" "1306"
"Enchantment: Captain" "1307"
"Enchantment: Distortion" "1308"
"Enchantment: Homeguard" "1309"
"Enchantment: Furor" "1310"
"Enchantment: Alacrity" "1311"
"Enchantment: Captain" "1312"
"Enchantment: Distortion" "1313"
"Enchantment: Homeguard" "1314"
"Enchantment: Furor" "1315"
"Enchantment: Alacrity" "1316"
"Enchantment: Captain" "1317"
"Enchantment: Distortion" "1318"
"Enchantment: Homeguard" "1319"
"Enchantment: Furor" "1320"
"Enchantment: Alacrity" "1321"
"Enchantment: Captain" "1322"
"Enchantment: Distortion" "1323"
"Enchantment: Homeguard" "1324"
"Enchantment: Furor" "1325"
"Enchantment: Alacrity" "1326"
"Enchantment: Captain" "1327"
"Enchantment: Distortion" "1328"
"Enchantment: Homeguard" "1329"
"Enchantment: Furor" "1330"
"Enchantment: Alacrity" "1331"
"Enchantment: Captain" "1332"
"Enchantment: Distortion" "1333"
"Enchantment: Homeguard" "1334"
"Enchantment: Teleport" "1335"
"Enchantment: Teleport" "1336"
"Enchantment: Teleport" "1337"
"Enchantment: Teleport" "1338"
"Enchantment: Teleport" "1339"
"Enchantment: Teleport" "1340"
"Enchantment: Teleport" "1341"
"Health Potion" "2003"
"Mana Potion" "2004"
"Total Biscuit of Rejuvenation" "2009"
"Total Biscuit of Rejuvenation" "2010"
"Crystalline Flask" "2041"
"Vision Ward" "2043"
"Stealth Ward" "2044"
"Ruby Sightstone" "2045"
"Oracle's Extract" "2047"
"Sightstone" "2049"
"Explorer's Ward" "2050"
"Guardian's Horn" "2051"
"Poro-Snax" "2052"
"Raptor Cloak" "2053"
"Diet Poro-Snax" "2054"
"Elixir of Ruin" "2137"
"Elixir of Iron" "2138"
"Elixir of Sorcery" "2139"
"Elixir of Wrath" "2140"
"Abyssal Scepter" "3001"
"Archangel's Staff" "3003"
"Manamune" "3004"
"Berserker's Greaves" "3006"
"Archangel's Staff (Crystal Scar)" "3007"
"Manamune (Crystal Scar)" "3008"
"Boots of Swiftness" "3009"
"Catalyst the Protector" "3010"
"Sorcerer's Shoes" "3020"
"Frozen Mallet" "3022"
"Twin Shadows" "3023"
"Glacial Shroud" "3024"
"Iceborn Gauntlet" "3025"
"Guardian Angel" "3026"
"Rod of Ages" "3027"
"Chalice of Harmony" "3028"
"Rod of Ages (Crystal Scar)" "3029"
"Infinity Edge" "3031"
"Last Whisper" "3035"
"Seraph's Embrace" "3040"
"Mejai's Soulstealer" "3041"
"Muramana" "3042"
"Muramana" "3043"
"Phage" "3044"
"Phantom Dancer" "3046"
"Ninja Tabi" "3047"
